Ref,First Author,Year,Authors,Title,Journal,Volume,Pages,Original Publication,PMCID,Abstract,Author Address,Language
215,Anderson,2008,"J. S. H. Anderson, J.~Hillman, R.~Gittleson, C.~Hartel, G.~Medley, G.~Basser, R.",Abnormal anal cytology in high-risk human papilloma virus infection in HIV-infected Australians,Sexually Transmitted Infections,84,94-96,,,"Objective: To assess the prevalence of abnormal anal cytology and high-risk human papilloma virus (HPV)-type infection in HIV-infected people with a CD4 cell count >300 cells/mul. Methods: The clinic-based patient population included 126 HIV-infected people: 124 men who have sex with men, and two women (median age 45 years; CD4 cell count >300 cells/mul). Anal cytology swabs were placed into liquid-based medium for HPV typing by Hybrid Capture-2 assay and cytological assessment, by a single cytopathologist. Results: 106 (84%) participants were infected with high-risk HPV; 17 (14%) had no high-risk types of HPV detected; three (2%) had no HPV assay result because of an inadequate sample. Sixteen (13%) participants had cytological evidence of high-grade squamous intraepithelial (HGSIL) changes, 100% of whom had high-risk HPV types detected, and 13 (10%) had atypical squamous cells of undetermined significance with possible high-grade changes (ASCUS-H), 92% of whom had high-risk HPV types detected. Low-grade changes (LSIL) were detected in 24 (19%) participants, 96% of whom had high-risk HPV types, 32 (25%) had ASCUS with 88% high-risk HPV types, 30 (24%) had normal cytology with 73% high-risk HPV types, and 11 (9%) samples were inadequate for cytological assessment. The odds ratio of participants with high-risk HPV having abnormal anal cytology on anal swab was 5.03 (95% CI 1.45 to 17.39). Discussion: High-risk HPV types are common in this HIV+ population with a CD4 cell count >300 cells/mul. The presence of high-risk HPV types was associated with abnormal anal cytology such as HGSIL and ASCUS-H.","(Anderson) Carlton Clinic, Melbourne, VIC, Australia (Anderson, Hoy) Infectious Diseases Unit, Alfred Hospital, Melbourne, VIC, Australia (Hoy) Department of Medicine, Monash University, Melbourne, VIC, Australia (Hillman) STI Research Centre, University of Sydney, Sydney, NSW, Australia (Gittleson, Hartel, Basser) CSL Limited, Melbourne, VIC, Australia (Medley) Melbourne Pathology, Collingwood, VIC, Australia (Anderson) Carlton Clinic, 88 Rathdowne St, Melbourne, VIC 3053, Australia~J. S. Anderson, Carlton Clinic, 88 Rathdowne St, Melbourne, VIC 3053, Australia",English
225,Antonsson,2015,"A. W. Antonsson, L. F.~Kendall, B. J.~Bain, C. J.~Whiteman, D. C.~Neale, R. E.",Cancers in Australia in 2010 attributable to infectious agents,Australian and New Zealand journal of public health,39,446-451,,,"OBJECTIVES: To estimate the proportion and numbers of cancers in Australia in 2010 attributable to infectious agents. METHODS: The population attributable fraction (PAF) and number of cancers caused by hepatitis B and C viruses (HBV, HCV), Helicobacter pylori and human immunodeficiency virus (HIV) were calculated using standard formulae incorporating prevalence of infection in the Australian population, the relative risks associated with that infection and cancer incidence. For cancers with very strong associations to the infectious agent (Epstein-Barr virus [EBV], human papillomavirus [HPV] and HIV/Kaposi's sarcoma herpes virus [KSHV]), calculations were based on viral prevalence in the tumour. RESULTS: An estimated 3,421 cancers (2.9% of all cancers) in Australia in 2010 were attributable to infections. Infectious agents causing the largest numbers of cancers were HPV (n=1,706), H. pylori (n=793) and HBV/HCV (n=518). Cancer sites with the greatest number of cancers caused by infections were cervix (n=818), stomach (n=694) and liver (n=483). Cancers with highest proportions attributable to infectious agents were Kaposi's sarcoma (100%), cervix (100%), nasopharynx (87%), anus (84%) and vagina (70%). CONCLUSIONS: Infectious agents cause more than 3,000 cancers annually in Australia. IMPLICATIONS: Opportunities for cancer prevention through infection control are considerable, even in a 'first world' nation like Australia. Copyright © 2015 The Authors.","(Antonsson, Wilson, Kendall, Bain, Whiteman, Neale) QIMR Berghofer Medical Research Institute, Queensland (Kendall) School of Medicine, The University of Queensland (Bain) National Centre for Epidemiology and Population Health, Research School of Population Health, Australian National University, Australian Capital Territory (Whiteman, Neale) School of Public Health, The University of Queensland",English
229,Azevedo,2017,"J. P. Azevedo, A.~Lisboa, C.~Santo, I.~Azevedo, L.~Cunha, M. J.~Marcelino, M.~Reis, J. P.~Gameiro, A.~Cabral, A. R.~Coutinho, M. I.~Gouveia, M.~Teixeira, V. B.~Brito, C.~Fernandes, J. C.~Araujo, C.~Resende, C.~Ferreira, O.~Cardoso, J.~Fernandes, C.~Rodrigues, A.~aureano, A.~Fernandes, P. V.~Mestre, T.~Bartolo, E.~Matos, D.~Barreiros, H.~Alves, J.~Coelho, R.~Moreira, C.~BorgesCosta, J.~Gouveia, A. I.~Teixeira, A.~Lopes, L.~Uva, L.~Dias, C.~Machado, J. C.~Cirnes, L.~Faustino, A.~Santos, S.",Epidemiology of human papillomavirus on anogenital warts in Portugal - The HERCOLES study,Journal of the European Academy of Dermatology and Venereology,31,1342-1348,,,"Background: Anogenital warts (AGW) are one of the most prevalent sexually transmitted disease worldwide. Approximately, 90% of AGWs are related to infection by HPV 6 and 11. However, AGW have been associated with infection by multiple genotypes, including HR-HPV, which may be associated with a long-term increased risk of anogenital cancer. Objective: This observational prospective epidemiological study aims to estimate the type-specific HPV distribution on incident AGWs in both genders, and additionally to assess the frequency of anal and oral HPV infection in patients with AGWs. Methods: According to defined inclusion criteria, individuals with incident clinical diagnosis of AGWs were recruited in seven Portuguese Centres. HPV genotyping was performed using CLART HPV2 test. Results: Between November 2012 and March 2014, 162 women and 400 men (mean age: 34 years), were enrolled. After exclusion of patients with unqualified AGW samples, HPV was detected in 95.3% (505/530) AGW patients, 96.8% males and 91.6% females. Among men who have sex with men, HPV was detected in 98.5% patients. HPV 6 and/or HPV 11 were the most frequent genotypes (87.5%), and HPV 16 the most common HR-HPV (9.2%). Infection with HPV 6/11 and any HR-HPV was observed in 35.8% patients. HPV prevalence on the anal canal and oral mucosa was 83.1% and 15.0%, respectively. Conclusion: Incident AGWs were more frequent in males than in females. LR-HPVs were more common among males and HR-HPVs among females. HPV 6 and 11 were the most common genotypes on both genders. However, there was also a high prevalence of HR-HPVs, particularly of HPV 16. AGWs represent a clinical marker of both anal and oral HPV infections, including anal HR-HPV infections in women and men who have sex with men. The HERCOLES study could be a clue to further investigations concerning HPV burden of disease by gender and sexual behaviour. Copyright © 2017 European Academy of Dermatology and Venereology","(Azevedo, Santo) Centro de Saude da Lapa, Consulta DST, Lisboa, Portugal (Pista) Investigador Independente, Lisboa, Portugal (Lisboa) Hospital de S. Joao - Faculdade de Medicina, Universidade do Porto, Porto, Portugal (Azevedo) Faculdade de Medicina, Universidade do Porto (CIDES & CINTESIS), Porto, Portugal (Cunha) Sanofi Pasteur MSD Portugal, Amadora, Portugal (Pista) Instituto Nacional de Saude, Laboratorio Nacional de Referencia de Infecoes Gastrintestinais, Lisboa, Portugal~A. Pista, Instituto Nacional de Saude, Laboratorio Nacional de Referencia de Infecoes Gastrintestinais, Lisboa, Portugal. E-mail: angela.pista@insa.min-saude.pt",English
236,Barroca,2016,"H. M. P. Barroca, P.~Amendoeira, I. M.",Anal HR-HPV prevalence assessed with the cobas HPV test in an HIV-infected population of men who have sex with men,Porto Biomedical Journal,1,29-31,,,"Background: Anal squamous cell cancer is an HPV associated disease, highly prevalent in HIV-infected men who have sex with men (MSM). We evaluate the prevalence of HPV infection in an HIV-positive MSM population attending our hospital. Cytological results are correlated with an HR-HPV genotype. Methods: From February 2013 to July 2014, 95 anal Thin Prep cytologies and 17 histological specimens were evaluated in 89 HIV-infected MSM. HPV detection (cobas HPV Test) was done in 78 patients. Patients with a positive cytological result were biopsied according to the recommendations of the European Society for Medical Oncology Clinical Practical Guidelines. The STATVIEW statistical computer program was used. Results: The mean age was 37 years. Cytological results: 40% - NILM, 17.9% - ASCUS, 24.2% - LSIL, 4.2% - HSIL and 1.1% - AGC. The overall prevalence of HR-HPV was of 80.8%. In 76.9% of the cases, infection occurred with multiple HR-HPV genotypes. The ""other"" HR-HPV pattern was the most prevalent HR-HPV genotype. Considering age, HPV-16 prevalence was 50.0% and 28.6% in patients under and over 30 years, respectively. A histological specimen was obtained from 17 patients and 82.4% of them had AIN. Conclusion: 1 - HIV-infected MSM is a highly HR-HPV genotype infected population; 2 - The multiple infection pattern was the most prevalent; 3 - ""Other"", an HPV subtype was the most prevalent pattern; 4 - The prevalence of HPV infection and multiplicity of infection was directly related to the severity of the cytological abnormalities and age; 5 - HPV-16 prevalence was more prevalent in patients under 30 years. Copyright © 2016 PBJ-Associacao Porto Biomedical/Porto Biomedical Society.","(Barroca, Pontes, Amendoeira) Servico de Anatomia Patologica, Sao Joao Hospital Center, Porto, Portugal~H.M. Barroca, Servico de Anatomia Patologica, Sao Joao Hospital Center, Porto, Portugal. E-mail: hbarroca@gmail.com",English
239,Beachler,2013,"D. C. D. S. Beachler, G.~Sugar, E. A.~Xiao, W.~Gillison, M. L.",Natural history of anal vs oral HPV infection in HIV-infected men and women,Journal of Infectious Diseases,208,330-339,,,"Background. Human immunodeficiency virus (HIV)-infected individuals are at greater risk for human papillomavirus (HPV)-associated anal than oropharyngeal cancers. The prevalence of anal vs oral HPV infections is higher in this population, but whether this is explained by higher incidence or persistence is unknown.Methods. Oral rinse and anal swab samples were collected semiannually from 404 HIV-infected adults in Baltimore, Maryland. Samples were tested for 37 HPV types using PGMY09/11 primers and reverse line-blot hybridization. Risk factors for HPV persistence were explored using adjusted Wei-Lin-Weissfeld models.Results. The prevalence (84% vs 28%), incidence (145 vs 31 per 1000 person-months), and 12-month persistence (54% vs 29%) were higher for anal vs oral HPV infections, respectively (each P <. 001). Heterosexual men had lower incidence of anal HPV than men who have sex with men and women, but a higher incidence of oral HPV infection (test of interaction P < 0.001). In adjusted analyses, risk factors for HPV persistence included prevalent vs incident (adjusted hazard ratio [aHR] = 4.0; 95% confidence interval [CI], 3.5-4.8) and anal vs oral HPV infections (aHR = 1.5; 95% CI, 1.2-1.9).Conclusions. The higher incidence and persistence of anal vs oral HPV infections likely contributes to the higher burden of anal as compared to oral HPV-associated cancers in HIV-infected individuals. © 2013 The Author 2013. All rights reserved.","(Beachler, D'Souza, Sugar) Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States (Sugar) Department of Biostatistics, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States (Xiao, Gillison) Viral Oncology Program, Ohio State University Comprehensive Cancer Center, Columbus, United States~M.L. Gillison, OSU Comprehensive Cancer Center, 690 Tzagournis Research Facility, 420 W 10th Ave, Columbus, OH 43210, United States. E-mail: maura.gillison@osumc.edu",English
252,Blas,2015,"M. M. B. Blas, B.~Menacho, L.~Alva, I. E.~SilvaSantisteban, A.~Carcamo, C.",HPV prevalence in multiple anatomical sites among men who have sex with men in Peru,PLoS ONE,10 (10) (no pagination),,,,"Background. Human Papilloma Virus (HPV) infection is the most common sexually transmitted viral infection worldwide. HPV is highly prevalent in sexually active men who have sex with men (MSM) and has been associated with anal cancer, penile cancer, and oropharyngeal cancer. Methods. From March to September 2011, we conducted a cross-sectional study of HPV prevalence among MSM above age 18 years. Participants were recruited using respondent driven sampling at Clinica Cayetano Heredia. All participants provided anal, genital, and oral samples for HPV DNA testing, and blood for HIV and HPV antibody testing. Results. A total of 200 MSM were recruited in the study. The mean age was 34 years (range 18-59 years, SD = 9.4) and 101 participants were HIV negative (99 HIV positive). HPV 6/11/16/18 or quadrivalent HPV vaccine (HPV4) genotype seroprevalence among HIV negative and positive MSM was 64.3% (55%-75.9%) and 93.8%(87.6%-99.2%) respectively (p<0.001). HIV positivity was associated with a higher prevalence of HPV4 and HPV 16/18 DNA at external genital sites and the anal canal. HPV4 DNA prevalence at external genital sites among HIV negative and positive MSM was 14.9% and 28.7% (p = 0.02) respectively, at anal canal was 50.9% and 79.0% (p = 0.001), and at the oral cavity was 9.9% and 8.5% (p = 0.6). Conclusions. HPV4 seroprevalence was high in our study among both HIV positives and negatives, with HPV DNA prevalence much lower, and the anal canal being the anatomical site with the highest HPV DNA prevalence. HPV prevention interventions are needed among MSM at high-risk for HIV infection. Copyright © 2015 Blas et al.","(Blas, Menacho, Alva, Carcamo) Epidemiology, STD and HIV Unit, School of Public Health and Administration, Universidad Peruana Cayetano Heredia, Lima, Peru (Brown) Center for Healthy Communities, UCR, School of Medicine, Riverside, CA, United States (Silva-Santisteban) Unit of Health, Sexuality and Human Development, School of Public Health and Administration, Universidad Peruana Cayetano Heredia, Lima, Peru",English
254,Blomberg,2012,"M. F. Blomberg, S.~Munk, C.~Bautz, A.~Kjaer, S. K.",Genital warts and risk of cancer: A danish study of nearly 50000 patients with genital warts,Journal of Infectious Diseases,205,1544-1553,,,"Background. We conducted a large national cohort study to examine the risk of cancer among men and women with genital warts (GW). Methods. By use of the Danish National Patient Register, we identified 16,155 men and 32,933 women who received a diagnosis of GW during 1978-2008. Standardized incidence ratios (SIRs) were computed as estimates of the relative risk of specific cancers or sites. Results. A diagnosis of GW was strongly related to anal (SIR for men, 21.5; SIR for women, 7.8), vulvar (SIR, 14.8), vaginal (SIR, 5.9), cervical (SIR, 1.5), penile (SIR, 8.2), and head and neck cancer (SIR, 2.8), including subsites of head and neck cancer with confirmed HPV association (SIR for men, 3.5; SIR for women, 4.8). The risks remained elevated for >10 years following GW diagnosis. In addition, we found moderately increased SIR estimates for nonmelanoma skin cancer, smoking-related cancers, and Hodgkin and non-Hodgkin lymphoma. Conclusions. Individuals with GW have a long-term increased risk of anogenital cancers and head and neck cancers. The elevated risks of nonmelanoma skin cancers might indicate an association with HPV, while excess risks of other cancers could point to differences in other risk factors between individuals with GW and the general population. © 2012 The Author.","(Blomberg, Friis, Munk, Bautz, Kjaer) Institute of Cancer Epidemiology, Danish Cancer Society, University of Copenhagen, Copenhagen, Denmark (Kjaer) Gynecological Clinic, Rigshospitalet, University of Copenhagen, Denmark~S.K. Kjaer, Department of Viruses, Hormones and Cancer, Institute of Cancer Epidemiology, Danish Cancer Society, Strandboulevarden 49, 2100 Copenhagen, Denmark. E-mail: susanne@cancer.dk",English
258,Borghetti,2015,"A. C. Borghetti, P.~Maria, G.~D'Onghia, S.~Santangelo, R.~Marchetti, S.~Farina, S.~Cauda, R.~De Luca, A.~Di Giambenedetto, S.","Prevalence, incidence and predictors of anal high-risk HPV infections and cytological abnormalities in HIV-infected individuals",Journal of Infection,70,60-71,,,"Our purpose was to investigate prevalence, incidence and risk factors of anal high risk-HPV infections and cytological abnormalities in HIV-positive individuals. Methods: A cohort of consecutively enrolled HIV-positive patients underwent, at baseline visit, a sexual behaviors questionnaire, anoscopy, HPV testing and cytological examination. Hybridization and multiplex-PCR were used for DNA detection and typing; HPV E6-E7 mRNA expression was analyzed in HR-HPV+ patients. Logistic regression was used to assess predictors of HR-HPV infection and anal dysplasia. Results: 233 HIV-infected patients were enrolled (81% males, median age 44 years). HR-HPV was detected in 144 anal swabs and showed a positive association with CDC stage C and a negative association with a higher CD4 count and the use of a NNRTI-based antiretroviral regimen. HR-HPV DNA detection and anal warts at baseline were associated to cytological abnormalities; a detectable HIV-RNA independently predicted new onset anal dysplasia at follow-up (incidence 15.4 per 100 patients-year). Incidence of new HR-HPV infection was 44.2 per 100 patients-year. Conclusions: The relevance of screening for anal dysplasia in HIV+ patients is emphasized, especially in those with detectable plasma HIV-RNA, anal HR-HPV infection or compromised immunological status. Copyright © 2014 The British Infection Association.","(Borghetti, Cauda, De Luca, Di Giambenedetto) Istituto Clinica Malattie Infettive, Universita Cattolica del Sacro Cuore, Largo F.Vito 1, Roma 00168, Italy (Cattani, D'Onghia, Santangelo, Marchetti) Istituto di Microbiologia, Universita Cattolica del Sacro Cuore, Largo F.Vito 1, Roma 00168, Italy (Maria) Istituto Clinica e Terapia Chirurgica, Universita Cattolica del Sacro Cuore, Largo F.Vito 1, Roma 00168, Italy (Farina, De Luca) UOC Malattie Infettive Universitarie, Azienda Ospedaliera Universitaria Senese, Viale Mario Bracci 16, Siena 53100, Italy~A. De Luca, viale Mario Bracci 16, Siena 53100, Italy",English
261,Bouvier,2016,"A. M. B. Bouvier, A.~Manfredi, S.~Jooste, V.~Uhry, Z.~Faivre, J.~Duport, N.~Grabar, S.",Trends of incidence and survival in squamous-cell carcinoma of the anal canal in France: A population-based study,European Journal of Cancer Prevention,25,182-187,,,"Data on anal cancer epidemiology are rare. The aim of this study was to report on trends of incidence and survival for anal cancer in France before the implementation of the human papilloma virus vaccine. This analysis was carried out on 1150 squamous-cell carcinomas of the anal canal diagnosed from 1989 to 2004 in a population of 5.7 million people covered by eight population-based cancer registries. Time trends in incidence were modeled using an age-period-cohort model. Net survival rates were obtained using the recently validated unbiased Pohar-Perme estimator. The incidence of squamous-cell carcinoma of the anal canal increased from 0.2 to 0.5/100 000 person-years among men and from 0.7 to 1.3/100 000 person-years among women from 1982 to 2012. Among women, the increase peaked after 2005, with an annual percentage change of +3.4% between 2005 and 2012, as compared with +2.6% among men. The net survival was 56% (95% confidence interval, 49-64) at 5 years and 48% (33-70) at 10 years among men. It was higher among women, at 65% (61-69) and 56% (50-63) at 5 and 10 years, respectively. The prognosis improved between 1989-1997 and 1998-2004. This improvement was slightly greater for men than for women, thus progressively reducing the gap between sexes. The incidence of squamous-cell anal canal cancer increased slightly among both sexes, but the increase was more marked among women than among men. The potential benefit of prophylactic female human papilloma virus vaccination against cervical cancer in France should be further evaluated. Copyright © 2016 Wolters Kluwer Health, Inc. All rights reserved.","(Bouvier, Jooste, Faivre) Digestive Cancer Registry of Burgundy, INSERM U866, University Hospital Dijon, University of Burgundy, BP 87900, Dijon Cedex 21079, France (Belot, Uhry) Biostatistics Unit of the University Hospital of Lyon, CNRS, UMR5558, Health Biostatistics Unit of Villeurbanne, University of Lyon, Lyon F-69100, France (Manfredi) Digestive Diseases Unit, University Hospital Pontchaillou, Rennes, France (Duport) Chronic Diseases Unit, French Institute for Public Health (InVS), Saint-Maurice, France (Grabar) INSERM UMRS 943, UPMC University Paris, Paris, France~A.-M. Bouvier, Digestive Cancer Registry of Burgundy, INSERM U866, University Hospital Dijon, University of Burgundy, BP 87900, Dijon Cedex 21079, France. E-mail: anne-marie.bouvier@u-bourgogne.fr",English
274,Burgos,2017,"J. H. Burgos, J.~Landolfi, S.~Guelar, A.~Dinares, M. A.~Villar, J.~Navarro, J.~Ribera, E.~Falco, V.~Curran, A.",The role of oncogenic human papillomavirus determination for diagnosis of high-grade anal intraepithelial neoplasia in HIV-infected MSM,Aids,31,2227-2233,,,"Objective: To assess the oncogenic human papillomavirus (HPV) determination and the cotesting HPV and anal cytology value to detect high-grade anal intraepithelial neoplasia (HGAIN) in a cohort of HIV-MSM. Design and methods: Prospective study of HIV-infected MSM who underwent screening for anal dysplasia. Screening program includes anal cytology, HPV testing, and high-resolution anoscopy (HRA) at each visit. Histological samples were obtained if suspicious lesions were revealed by HRA. Sensitivity and specificity of the different tests were calculated by using histological results of HRA-guided biopsy as the reference test for HGAIN diagnosis. Results: From May 2009 to August 2016, 692 HIV-infected MSM underwent 1827 anal cytologies, 1841 HRA examinations, and 1607 HPV testing. At first screening visit, anal cytology results were abnormal in 418 (60.4%) of 692 patients, and oncogenic HPV genotypes were found in 482 (79.5%) of 606 patients. Anal cytology showed a sensitivity of 89.2% [95% confidence interval (CI); 80.7-94.2] and a specificity of 44.2% (95% CI; 40.2-48.2) to detect HGAIN. Oncogenic HPV testing had 90.4% sensitivity (95% CI; 82-86.8) and 24.4% specificity (95% CI; 20.8-28.3). Cotesting showed a 97.4% sensitivity (95% CI; 91-99.3) and 14% specificity (95% CI; 11.2-17.3). In patients with atypical squamous cells of uncertain significance on cytology, oncogenic HPV testing had 91.3% sensitivity and 28.3% specificity to detect HGAIN. Conclusion: Abnormal cytology and oncogenic HPV determination showed similar sensitivity for detecting HGAIN. The two tests used together improved the sensitivity but with lowered specificity. In our opinion, HPV testing does not improve HGAIN detection and should not replace anal cytology as a standard screening test for HIV-infected MSM. Copyright © 2017 Wolters Kluwer Health, Inc.","(Burgos, Navarro, Ribera, Falco, Curran) Infectious Diseases Department, Vall d'Hebron Research Institute, Hospital Universitari Vall d'Hebron, Universitat Autonoma de Barcelona, Passeig Vall d'Hebron 119-129, Barcelona 08035, Spain (Hernandez-Losa, Landolfi, Dinares) Anatomical Pathology Department, Vall d'Hebron Research Institute, Hospital Universitari, Vall d'Hebron, Spain (Guelar, Villar) Internal Medicine Department, Hospital Universitari Del Mar, Universitat Autonoma de Barcelona, Barcelona, Spain~J. Burgos, Infectious Diseases Department, Vall d'Hebron Research Institute, Hospital Universitari Vall d'Hebron, Universitat Autonoma de Barcelona, Passeig Vall d'Hebron 119-129, Barcelona 08035, Spain. E-mail: jburgos@vhebron.net",English
276,BurnettHartman,2013,"A. N. F. BurnettHartman, Q.~Popov, V.~Kalidindi, A.~Newcomb, P. A.",Human papillomavirus DNA is rarely detected in colorectal carcinomas and not associated with microsatellite instability: the Seattle colon cancer family registry,"Cancer Epidemiology, Biomarkers & Prevention",22,317-9,,NIHMS427685,"BACKGROUND: Persistent infection with oncogenic human papillomavirus (HPV) types-16 and -18 is an established cause of cervical and other cancers. Some studies report detection of oncogenic HPV DNA in colorectal carcinomas, with prevalence estimates as high as 84%. However, other studies report detecting no HPV DNA in colorectal tumors.~METHODS: To evaluate the prevalence of HPV in colorectal cancer subsets, we conducted a case-case comparison study. This study included 555 cases of incident colorectal cancer from the Seattle Colon Cancer Family Registry (CCFR), ages 20 to 74 years and diagnosed between 1998 and 2002. Standardized interviews were used to elicit demographics and risk factor data. Tumor DNA was assayed for HPV-16 and -18 DNA using real-time PCR. Microsatellite instability (MSI) status was assessed using a standard 10-marker panel and confirmed with immunohistochemical staining. Prevalence estimates were calculated for the overall sample, and stratified by patient and tumor characteristics. Fisher exact test was used to compare prevalence between strata.~RESULTS: HPV-16 DNA was detected in 2% of colorectal tumors, but no HPV-18 DNA was detected. HPV-16 prevalence did not vary between cases according to sex, age, race, smoking-status, or MSI-status (P > 0.05). HPV-16 prevalence in rectal carcinomas was 5% compared with 1% in colon carcinomas (P = 0.03).~CONCLUSIONS: Among a large sample of colorectal carcinomas, prevalence of HPV-16 and -18 was very low. Prior studies detecting high HPV prevalence in colorectal carcinomas are likely the result of contamination from the anal canal or clinical processing.~IMPACT: HPV is unlikely to play a large role in colorectal carcinogenesis.","Burnett-Hartman, Andrea N. Fred Hutchinson Cancer Research Center, Seattle, WA 98109, USA. aburnett@fhcrc.org",English
278,ButtmannSchweiger,2017,"N. D. ButtmannSchweiger, Y.~Klug, S. J.~Kraywinkel, K.",Cancer incidence in Germany attributable to human papillomavirus in 2013,BMC Cancer,17 (1) (no pagination),,,,"Background: It is estimated that a total of 120,000 new cancer cases in men and in women in more developed countries could be avoided if exposure to HPV was prevented. We used the nationwide pool of German population-based cancer registry data to estimate the burden of HPV-attributable cancer in this population for the year 2013. Methods: Incident cases of cervical cancer, squamous cell carcinoma of the anus, oropharynx (OP), as well as of the vulva, vagina and penis were classified as potentially HPV-associated and identified from the nationwide cancer registry data-pool. We calculated the incidence and proportions of cancer with potentially HPV-associated morphologies. Estimation of the HPV-attributable incidence was based on prevalence-estimates of viral DNA in tumor cells in the respective sites, as provided from the international literature. Results: From the overall 15,936 incident cases of anogenital and OP cancers in 2013, 6239 female and 1358 male cancer cases were estimated to be attributable to HPV. The majority of HPV-attributable cases were contributed by cervical cancer (70.9% of female cancers) and oropharyngeal cancer (46.9% of male cancers). Conclusions: Even if most HPV-attributable cases were contributed by cervical cancer, anogenital cancer at sites other than the cervix, and oropharyngeal cancer substantially contribute to the burden of HPV-associated cancer. Our nationwide cancer registry data-analyses provide the baseline for long-term population-based monitoring of vaccination-effects on cancer incidence in Germany. Copyright © 2017 The Author(s).","(Buttmann-Schweiger, Kraywinkel) Robert Koch-Institut, Department of Epidemiology and Health Monitoring, Berlin, Germany (Delere) General practitioner, Rudower Str. 60, Berlin 12524, Germany (Buttmann-Schweiger, Klug) University Hospital, Technische Universitat Dresden, Cancer Epidemiology, University Cancer Center Dresden, Dresden, Germany (Klug) Technical University of Munich, Epidemiology, Department for Sport and Health Sciences, Munich, Germany (Buttmann-Schweiger) Robert Koch-Institut, Department of Epidemiology and Health Monitoring, German Centre for Cancer Registry Data, General Pape-Strase 62-68, Berlin 12101, Germany~N. Buttmann-Schweiger, Robert Koch-Institut, Department of Epidemiology and Health Monitoring, Berlin, Germany. E-mail: ButtmannN@rki.de",English
280,Cachay,2015,"E. A. Cachay, W.~Mathews, C.",Five-year cumulative incidence of invasive anal cancer among HIV-infected patients according to baseline anal cytology results: an inception cohort analysis,HIV Medicine,16,191-5,,NIHMS654623,"OBJECTIVES: The aim of the study was to estimate the cumulative incidence of, and rates of progression to, invasive anal cancer (IAC) according to baseline anal cytology screening category in an unselected HIV clinical care cohort in the antiretroviral era.~METHODS: A retrospective cohort analysis of HIV-infected patients under care at the University of California at San Diego Owen Clinic was carried out. Patients were eligible for this analysis if they had at least two anal cytohistological results available for longitudinal analysis. Kaplan-Meier analysis was used to estimate the cumulative incidence of IAC over time according to baseline cytology category [less than high-grade intraepithelial lesion (HSIL) versus HSIL]. Cox regression analysis was used to adjust for the following covariates: antiretroviral use, level of HIV viraemia, smoking status and infrared photocoagulation (IRC) ablation therapy.~RESULTS: Between 2000 and 2012, we followed 2804 HIV-infected patients for a median of 4 years under a clinic protocol requiring baseline anal cytology screening. Incident IAC was diagnosed in 23 patients. Patients with a baseline HSIL anal cytology had an estimated 5-year probability of progression to IAC of 1.7% and an estimated annual progression risk of 1 in 263. None of the examined covariates was significantly associated with IAC incidence when examined in separate unadjusted Cox models.~CONCLUSIONS: HIV-infected patients with a baseline HSIL anal cytology had a 5-year cumulative incidence of IAC of 1.65%, with an upper 95% confidence bound of 4.5%. This population-based study provides quantitative risk estimates that may be used for counselling patients regarding management options for abnormal cytology results.","Cachay, E. Department of Medicine, University of California at San Diego, San Diego, CA, USA.",English
